RESPID;Q2_How many powerboats do you currently own?;Q2_Cluster_Own a boat?;Q4_Approximately how much did you pay for your current Boat?;Q5_What is the horse power of your engine brand/current boat engine? (the boat you want to buy);Q6_Length of Boat (in Feet);Q8_How would you rate your experience regarding boating?;Q10_During your boating season, how many days out of the year do you typically use your boat;Q11_Gender;Q12_HOUSEHOLD income;Q13_Are you now married, widowed, divorced, separated, never married, or living with a partner?;Q14_Current Employment Status;Q17_Recommend;Q18_PurchaseFuture
220072;1;1;3;6;23;3;20;1;18;1;5;0;0
1284;1;1;4;6;21;2;30;2;16;6;1;1;0
1278;1;1;6;6;16;3;150;2;18;1;1;1;0
2614;1;1;4;6;28;4;36;1;16;1;2;1;0
2503;1;1;6;6;26;3;55;1;15;6;1;1;0
12086;1;1;3;6;22;2;35;1;15;1;1;1;0
18646;1;1;7;6;49;2;90;1;16;1;1;0;0
3101;2;1;4;6;23;2;30;1;18;1;2;1;0
1957;1;1;5;6;21;2;23;1;15;1;1;1;0
1612;1;1;11;6;32;2;60;2;1;1;2;0;0
7736;1;1;4;6;18;2;15;2;12;5;4;0;0
226824;1;1;4;6;23;3;12;1;18;1;1;0;0
2902;1;1;6;6;20;3;60;2;16;1;1;0;0
17168;1;1;4;6;21;2;25;1;12;5;1;0;0
2380;1;1;4;6;25;2;20;1;17;1;5;0;0
230068;0;0;4;6;23;3;20;1;15;1;1;0;0
229784;3;1;4;6;22;3;40;1;19;1;5;0;0
234171;1;1;6;6;20;2;50;2;16;1;1;1;1
472939;1;1;3;6;25;1;30;1;16;1;1;1;1
232907;1;1;2;6;25;2;30;2;18;1;7;0;1
422480;2;1;2;6;22;2;20;1;11;1;1;1;1
236766;0;0;5;6;40;2;45;2;19;1;1;0;1
423262;1;1;4;6;25;3;45;2;13;6;1;1;1
227733;1;1;3;6;25;1;50;2;13;3;2;0;1
229117;0;0;3;6;28;2;90;1;18;1;1;0;1
224296;0;0;2;6;25;2;30;2;1;3;1;0;1
223114;2;1;5;6;26;3;40;1;19;3;1;0;1
229615;1;1;2;6;21;1;90;1;19;6;1;0;1
240239;1;1;5;6;25;2;20;2;19;1;2;0;1
224280;0;0;2;6;19;1;30;2;12;5;1;0;1
228586;1;1;6;6;26;2;20;1;19;1;2;0;1
222755;1;1;3;6;20;3;8;1;16;1;1;0;1
479900;1;1;4;6;19;2;30;1;11;5;1;1;1
483733;1;1;4;6;20;2;15;2;16;1;4;0;1
229687;2;1;11;6;25;2;15;2;17;1;1;0;1
238011;1;1;5;6;25;2;10;2;16;1;1;0;1
16558;1;1;2;6;18;2;186;2;12;1;1;0;0
15259;0;0;6;6;21;1;20;1;16;1;1;0;0
484377;0;0;2;6;21;1;90;2;17;5;1;0;0
20500;0;0;5;6;18;2;30;2;1;1;1;0;0
626;1;1;5;6;20;2;60;2;14;1;1;0;0
484237;0;0;3;6;23;1;25;2;16;3;1;0;0
5222;1;1;11;6;21;1;90;2;16;5;4;0;0
422170;3;1;3;6;26;3;25;2;13;1;1;1;0
239939;0;0;4;6;18;1;30;1;12;5;1;1;1
229507;1;1;2;6;21;4;100;2;16;1;1;1;1
486730;1;1;2;6;16;3;120;1;1;1;5;1;1
226327;1;1;5;6;19;3;40;2;14;5;1;1;1
222570;1;1;4;6;22;4;150;1;12;1;1;1;1
226724;1;1;4;6;21;3;86;1;16;1;2;1;1
231195;1;1;7;6;25;4;60;1;16;1;1;0;1
423240;1;1;5;6;26;3;16;1;11;1;1;1;1
229807;0;0;3;6;24;3;30;1;17;1;1;1;1
472869;0;0;4;6;25;2;25;1;12;1;4;0;1
228507;1;1;7;6;50;3;180;1;16;3;1;1;1
229456;2;1;9;6;47;2;50;2;13;6;1;0;1
222195;1;1;3;6;20;3;25;2;17;1;1;1;1
230831;1;1;2;6;21;2;25;1;14;1;1;0;1
420294;1;1;4;6;20;3;100;2;11;5;1;0;1
227200;1;1;2;6;19;2;25;2;18;1;1;0;1
229872;1;1;4;6;21;1;12;1;18;1;1;0;1
228227;1;1;4;6;25;3;15;1;11;1;1;1;1
225836;0;0;5;6;50;2;30;1;15;5;1;1;1
238917;3;1;11;6;17;4;21;1;18;1;1;1;1
2768;2;1;5;6;32;3;90;2;10;1;1;1;0
2827;1;1;4;6;30;3;50;2;13;1;1;1;0
7952;2;1;3;6;18;3;50;1;17;1;1;0;0
487297;2;1;4;6;20;3;70;2;1;2;6;1;0
10396;1;1;8;6;23;3;40;2;16;1;1;0;0
1740;2;1;3;6;20;2;15;1;15;1;1;0;0
2457;1;1;3;6;10;1;250;2;1;3;6;1;0
23230;3;1;3;6;26;3;100;1;14;1;1;0;0
13600;1;1;5;6;25;2;25;2;10;1;4;1;0
20230;1;1;2;6;40;2;30;2;13;1;1;1;0
19835;1;1;2;6;26;2;20;2;15;1;1;0;0
1530;1;1;11;6;17;1;365;2;15;1;5;0;0
476270;1;1;5;6;20;4;35;1;13;1;1;0;0
487500;1;1;2;6;20;3;20;2;10;1;2;0;0
15760;0;0;3;6;17;2;100;2;13;6;1;0;0
227976;1;1;3;6;21;3;30;1;12;1;1;0;1
220157;1;1;2;6;25;3;30;2;16;1;1;0;1
226209;1;1;4;6;20;4;30;1;15;1;1;1;1
234287;1;1;1;6;35;1;18;1;1;1;1;0;1
470580;1;1;5;6;20;3;50;2;12;1;7;1;1
238653;1;1;3;6;20;3;30;1;14;5;2;1;1
487022;0;0;2;6;18;3;40;1;16;1;1;1;1
240362;1;1;4;6;25;1;90;2;17;1;5;1;1
422857;0;0;2;6;21;2;90;1;15;1;1;1;1
237043;1;1;4;6;23;4;30;1;15;1;2;1;1
420280;1;1;4;6;20;2;80;2;10;1;2;0;1
235699;1;1;4;6;20;3;60;1;19;1;1;0;1
229592;1;1;3;6;21;2;30;1;15;5;1;0;1
227833;1;1;11;6;20;3;12;2;15;1;5;0;1
470579;0;0;4;6;25;3;200;1;11;6;5;1;1
240190;1;1;5;6;25;3;50;1;15;1;1;0;1
230103;1;1;2;6;21;3;80;1;11;5;7;0;1
221841;1;1;2;6;20;2;30;1;13;1;1;0;1
227243;1;1;3;6;18;3;12;2;15;1;1;0;1
227677;1;1;6;6;29;4;40;1;16;1;1;0;1
222721;2;1;3;6;20;4;25;2;1;3;1;0;1
238407;1;1;4;6;19;3;60;1;16;1;1;1;1
231055;1;1;11;6;25;3;48;1;1;1;2;0;1
220721;0;0;4;6;28;2;20;1;18;1;1;1;1
226234;1;1;11;6;25;2;75;2;15;1;1;0;1
223476;1;1;3;6;25;4;60;2;15;1;1;0;1
221108;1;1;4;6;24;2;30;1;19;1;1;1;1
221081;1;1;5;6;25;2;50;2;16;1;5;0;1
229309;2;1;6;6;22;3;90;1;13;1;5;1;1
5966;1;1;1;6;21;2;90;2;12;1;7;0;0
2244;1;1;2;6;17;3;60;2;12;5;1;0;0
7255;0;0;1;6;20;2;20;1;11;6;1;0;0
20784;1;1;3;6;25;1;45;2;16;1;1;1;0
10516;1;1;2;6;25;3;30;1;14;1;2;0;0
2124;1;1;5;6;24;1;120;1;13;1;1;1;0
4137;1;1;4;6;25;2;75;1;19;1;1;1;0
12251;1;1;6;6;28;2;30;1;13;2;2;0;0
2750;1;1;4;6;20;2;19;2;14;1;1;1;0
18650;0;0;2;6;22;2;30;1;13;6;1;0;0
22509;1;1;2;6;25;3;40;2;12;1;2;0;0
1811;1;1;4;6;21;3;60;2;14;1;1;1;0
487385;1;1;4;6;20;3;45;1;17;1;1;0;0
489083;2;1;6;6;45;3;30;1;13;1;1;0;0
224731;1;1;8;6;47;4;50;1;16;6;1;0;1
471385;0;0;2;6;20;4;30;1;15;1;1;1;1
223812;2;1;3;6;25;3;20;1;11;1;1;0;1
231283;2;1;5;6;20;2;100;1;13;1;1;0;1
237008;1;1;6;6;42;2;100;2;19;5;1;1;1
421379;1;1;9;6;29;3;20;1;18;1;2;1;1
421852;1;1;5;6;18;1;12;1;16;1;1;1;1
