ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,geq 3 FPP Date,geq 10 FPP Date,geq 20 FPP Date,geq 35 FPP Date
229,10,,,10,40498,40500,40504,
230,10,10,10,10,40319,40328,40429,
231,10,10,10,10,40295,40303,40312,40324
232,10,,,,40492,40501,40513,
233,10,,10,,40332,40324,40332,40331
234,7,,,,40325,40325,40318,40416
235,10,10,10,10,40309,40325,40331,
236,10,10,10,10,40281,40316,40323,40325
237,10,,,,40302,40318,40371,
238,9,9,10,10,40312,40312,40322,40325
239,10,,,,40325,40336,40582,
240,10,,,,40343,40345,40474,
241,9,,10,10,40274,40297,,
242,10,,9,,40320,40330,,
243,10,,10,,40312,40319,40329,
244,,8,10,,40324,40330,,
245,10,10,8,10,40417,40452,,
246,,,10,,40467,40480,40584,
247,10,,,,40476,40490,,
248,9,9,9,,40311,40337,40452,
249,10,10,10,10,40289,40319,40330,
250,10,10,10,10,40298,40319,40326,40335
251,10,,,,40357,40374,40443,
252,10,10,10,10,40319,40328,,
253,8,9,4,9,40292,40318,40325,
254,10,10,10,10,40282,40295,40322,40337
255,,,,,40311,40329,,
256,6,,7,,40309,40311,40312,40397
257,10,,,,40319,,,
258,10,10,10,,40303,40303,40305,40327
259,6,8,9,9,40287,40301,40326,40413
260,10,9,10,10,40309,40327,40449,
261,10,10,9,10,40307,40328,40342,40442
262,10,7,,8,40322,40330,,
263,10,10,10,10,40322,40322,40322,40322
264,10,,,,40467,40557,,
265,,,8,,40502,,,
266,10,,,,40456,40464,40466,
267,10,8,10,10,40448,40472,40472,
268,9,,,,40246,40287,,
269,10,,,,40272,40286,40289,40291
270,10,,10,,40470,40471,,
271,10,10,9,9,40291,40295,40308,40319
272,,,,,40525,40525,40525,40529
273,,,,,40450,40455,,
274,10,,,,40333,40337,40434,
275,10,,,,40318,40330,40545,
276,10,,9,,40330,,,
277,9,,,,40340,,,
278,8,,9,,40293,40321,,
279,10,,,,40338,40338,,
280,9,8,,,40288,40295,40313,40332
281,10,,,,40247,40266,40283,
282,10,,,,40326,40451,,
283,10,,,,40297,40386,,
284,10,,,,40450,,,
285,10,,,,40481,,,
286,,,,,40484,,,
287,10,10,,10,40319,40329,,
288,10,10,,,40458,40463,40472,40555
289,9,9,9,8,40585,40585,40585,
290,10,10,,,40465,40483,,
291,10,9,,,40315,40420,,
292,10,,,,40324,40331,40461,
293,,10,,10,40322,40424,,
294,10,,,,40329,40464,,
295,10,,10,,40293,40301,40332,
296,10,10,10,10,40316,40325,40330,40455
297,,10,9,10,40323,,,
298,9,8,8,7,40469,40476,,
299,9,9,10,,40396,40472,,
300,8,,,,40324,,,
301,,,9,9,40556,,,
302,9,,,,39973,40070,40085,40459
303,9,,,,40330,40464,,
304,10,10,10,10,40357,,,
305,9,,,,40336,40339,40359,
306,,,,,40470,,,
307,9,,,,40527,40529,,
308,8,,,,40476,40478,40482,
309,10,8,,,40512,,,
310,10,10,10,10,40280,40308,40324,40329
311,,7,10,10,40244,40330,40452,
312,10,,10,10,40446,40450,40459,40461
313,10,9,10,10,40348,40426,40434,40438
314,10,10,10,9,40351,40470,40581,
315,,,,,40445,,,
316,10,,8,,40301,40309,40443,
317,9,9,10,,40317,40323,,
318,10,10,10,10,40303,40303,40307,40314
319,10,,,,40281,40333,,
320,10,,,,40289,40291,40294,
321,9,10,9,9,40562,40562,40562,40562
322,10,10,9,10,40422,40422,40422,40422
323,10,,,,40506,40506,40506,
324,,,10,,40312,40319,40330,40460
325,,,10,,40437,40437,40437,40466
326,,,10,,40437,40437,40446,40466
327,,,10,,40437,40437,40437,40504
328,10,10,9,10,40281,40291,40295,40317
329,10,10,9,,40263,40291,40301,40322
330,10,10,,10,40329,40331,40333,40336
331,10,10,10,,40330,40336,40441,40540
332,10,10,10,10,40263,40316,40448,40473
333,4,,,,40462,40470,40477,40483
334,10,10,10,10,40303,40312,40329,40469
335,9,,,10,40309,40322,40332,
336,10,,9,,40288,40323,40329,
337,10,10,10,10,40300,40329,40476,
338,10,,,,40297,40314,40325,
339,,,,,40491,40497,40504,40563
340,9,10,9,8,40463,40463,40463,40463
341,10,10,10,10,40304,40311,40328,40342
342,10,9,9,10,40303,40304,40324,40331
343,10,10,10,,40442,40459,,
344,10,,10,,40218,,,
345,,9,9,,40504,40510,40515,40520
346,10,,,,40463,40471,40478,40480
347,10,9,10,10,40303,40330,,
348,10,10,9,10,40309,40436,40467,
349,9,8,10,9,40340,40446,40451,40624
350,10,,,,40500,40505,40513,40563
351,10,10,10,10,40315,40322,40329,40445
352,10,,,,40305,40305,40471,
353,10,,10,,40296,40326,40452,
354,10,,,,40437,40470,40480,
355,9,8,8,9,40307,40325,40329,40437
356,,,10,10,40322,40326,40330,40454
357,10,10,,10,40310,40325,40332,
358,9,9,,,40315,40329,40337,
359,10,10,10,9,40260,40263,40276,
360,10,10,10,9,40292,40292,40292,40290
361,10,10,,10,40291,40298,40444,
362,10,,8,,40283,40284,40290,40293
363,10,,,,40287,40287,40297,
364,10,,10,,40464,,,
365,10,10,10,10,40333,40447,40461,
366,8,8,,8,40488,,,
367,,,,10,40325,40330,,
368,10,,,,40304,40312,,
369,10,10,,,40435,40452,,
370,10,,10,,40460,,,
371,9,,9,,40308,40324,40329,
372,10,10,10,10,40304,40323,40431,40487
373,10,,10,,40242,40249,40314,40445
374,8,8,,,40325,40483,,
375,,10,10,10,40308,40322,40330,40430
376,,9,9,8,40326,,,
377,4,,,,40245,,,
378,,9,10,10,40304,40327,,
379,,,9,9,40317,40322,40323,40400
380,10,,,,40336,40309,40328,
381,10,9,10,9,40318,,,
382,9,10,10,10,40407,40420,40436,40451
383,10,10,10,10,40330,40336,40338,
384,,,,,40491,,,
385,9,10,10,,40327,40330,,
386,8,,,,40302,40312,40368,
387,9,9,8,10,40226,40311,40227,40228
388,,,10,,40256,40269,40280,40319
389,10,10,5,,40312,40321,40325,40330
390,9,,,,40451,40455,40461,40578
391,,,,,40322,,,
392,10,,,,40324,40425,,
393,,10,10,8,40506,40514,40519,40523
394,7,9,8,9,40455,,,
395,10,10,10,10,40319,40326,40330,
396,9,9,10,10,40325,40330,40444,40471
397,5,,,,40311,40330,,
398,,,,,40277,40288,,
399,10,10,10,10,40318,40328,40448,40477
400,10,,10,,40301,40311,40324,40330
401,,,10,9,40459,40459,40459,40459
402,,10,,9,40308,40315,40317,40322
403,8,10,10,,40453,40465,40470,40476
404,,10,10,10,40338,40474,,
405,10,9,9,9,40417,40426,40445,40463
406,10,8,8,9,40315,40318,40330,40421
407,,,,,40326,,,
408,7,,,,40234,40263,40576,
409,9,9,,10,40483,,,
410,10,10,10,10,40288,40333,40451,
411,10,10,10,10,40323,40326,40330,
412,9,,9,10,40263,40429,40461,
413,,9,,,40322,40331,,
414,8,8,,,40240,40244,40330,40445
415,8,8,,,40424,40429,40444,
416,10,,,,40294,40305,40329,
417,9,,,10,40330,40336,40464,
418,10,,,,40448,40451,40457,
419,,,,,40251,40310,,
420,10,,,,40323,40329,,
421,10,10,10,9,40325,40329,40330,40336
422,9,,,,40451,,,
423,,7,,,40457,,,
424,10,10,10,10,40320,40325,40330,
425,,9,6,,40323,40337,40442,40454
426,8,,,,40318,40327,,
427,10,,,,40451,40464,,
428,10,10,,10,40548,40548,40548,40571
429,,,9,,40277,40299,40329,40449
430,8,,10,,40294,40295,40296,40322
431,9,,7,,40277,40329,,
432,9,10,10,9,40342,40342,40311,40327
433,10,,,,40438,,,
434,,,,,40456,40458,40461,40462
435,8,,,,40336,40337,,
436,10,10,10,10,40326,40329,40330,40351
437,,,,,40490,,,
438,9,,,,40474,40497,40497,
439,8,,,,40567,40575,40575,40668
440,9,10,,8,40314,40319,40323,40325
441,8,,10,,40119,40280,,
442,,,,,40318,40473,,
443,10,,,,40479,40497,,
444,10,,,,40457,40471,40487,
445,10,10,9,10,40304,40318,40324,40325
446,10,,,,40451,40452,40456,40457
447,10,10,8,9,40504,40511,40512,40518
448,10,,10,10,40328,40339,40473,
449,,,,,40333,40428,40459,
450,9,10,7,9,40328,40451,40624,
451,10,10,,,40337,,,
452,10,10,10,10,40446,40450,40455,40462
453,10,,,,40408,40410,40416,40419
454,9,,9,9,40314,40326,40330,40462
455,10,10,10,10,40324,40438,40483,
456,9,9,9,9,40329,40418,40439,40456
457,10,,,10,40321,40329,40337,
458,10,10,10,9,40361,40452,40592,
459,10,9,,,40317,40329,40330,
460,10,10,8,8,40317,40323,40326,40330
461,9,9,10,9,40324,40330,40378,
462,10,10,10,9,40288,40288,40288,40289
463,10,10,10,10,40316,40515,,
464,,,,,40319,40324,40470,
465,10,10,,9,40451,,,
466,,,,10,40479,,,
467,10,,,,40441,40469,,
468,9,10,9,9,40311,40328,40436,40456
469,,,9,,40325,40455,40460,
470,8,,,,40308,40317,,
471,,,,,40350,40442,,
472,10,,,,40296,40301,,
473,10,9,10,10,40326,40448,40584,
474,10,10,10,10,40479,,,
475,8,,10,8,40289,40304,40327,
476,9,10,8,,40304,40329,,
477,9,10,,,40331,,,
478,10,9,,,40329,,,
479,10,,10,,40270,,,
480,10,6,,,40451,40483,,
481,8,,,,40456,40468,,
482,10,10,10,10,40318,40326,40330,40343
483,,,8,10,40287,40329,40441,40497
484,9,10,,,40305,40309,40325,
485,,10,10,10,40321,40330,40449,
486,10,10,10,10,40301,40326,40343,
487,10,,,,40225,40239,,
488,8,,8,8,40316,40319,40325,40330
489,,10,8,6,40441,40441,40441,
490,10,10,10,,40325,40330,40331,
491,9,9,,9,40443,40465,40478,
492,9,,8,10,40310,40326,40451,
493,10,,,,40478,40478,,
494,8,,,,40574,40574,40574,40596
495,10,9,,,40434,40457,,
496,10,,10,,40317,40397,,
497,10,10,,,40310,,,
498,10,10,9,9,40324,40497,,
499,9,10,8,10,40333,40477,40504,
500,8,,,,40324,40330,40331,40438
501,10,8,,,40328,40337,,
502,,10,,,40329,40452,40581,
503,8,8,8,7,40453,40459,40468,
504,,,,,40311,40314,,
505,6,,,,40474,40484,40490,
506,10,10,10,10,40437,40473,,
507,10,10,10,,40322,40331,40337,
508,9,,9,,40234,40303,,
509,10,9,,10,40325,40330,40336,
510,10,,10,,40319,40324,40330,40449
511,10,,,,40311,40477,,
512,10,10,,9,40325,40330,40576,
513,7,,8,,40315,40329,40330,
514,,10,10,10,40457,40480,,
515,10,10,7,10,40316,40323,40327,40338
516,10,10,,10,40422,40430,40431,40431
517,8,,,,40448,40457,,
518,10,9,,10,40492,40494,40496,40497
519,6,9,,9,40329,40490,,
520,,10,10,,40259,40277,40291,40296
521,,,,,40295,40613,,
522,9,9,,,40332,40469,,
523,10,10,10,10,40320,40329,40330,
524,,,,,40327,40339,,
525,8,,,,40263,,,
526,10,10,,,40344,40457,,
527,10,,10,10,40323,40330,,
528,,,,,40306,40330,,
529,10,10,10,10,40393,40476,,
530,10,10,,,40445,,,
531,10,10,,,40316,40328,40330,40456
532,10,10,10,10,40345,40453,,
533,10,10,,,40438,40439,40452,
534,10,,8,,40329,40340,40340,40340
535,7,7,8,,40443,40458,40460,
536,,,,,40333,40451,,
537,10,10,,,40325,40475,,
538,10,10,10,10,40325,40331,40453,40466
539,9,,,10,40312,40322,,
540,10,,10,,40323,40469,,
541,10,,,,40322,40325,40330,40338
542,,9,,,40325,40342,40458,40512
543,10,,,,40315,,,
544,,10,,,40454,,,
545,8,10,10,8,40437,40437,40437,40437
546,10,10,10,,40499,40499,40529,
547,9,10,10,10,40325,40330,40463,
548,,10,8,6,40326,40335,40337,
549,9,,,,40442,40450,40451,
550,,10,,,40330,40331,40333,
551,,,10,10,40336,40596,,
552,8,9,,10,40331,40334,40338,40429
553,10,,10,,40312,40328,,
554,10,10,9,10,40265,40276,40301,40317
555,8,,,,40457,40571,,
556,,,,,40326,40338,,
557,10,,8,8,40480,,,
558,,,,,40476,,,
559,10,10,10,9,40454,40459,40464,40470
560,,8,,,40372,40465,,
561,10,10,9,9,40447,40455,40458,40466
562,,,,,40452,,,
563,10,,,9,40228,40237,40245,
564,,9,8,8,40331,40336,40447,40457
565,8,,,,40422,40445,40451,40626
566,10,,,,40478,40483,40485,40489
567,8,,,,40273,40296,40309,40311
568,9,,,,40501,40512,40521,40633
569,10,10,,10,40562,40562,40564,40578
570,,,10,,40533,40533,40533,40533
571,9,10,10,10,40319,40329,40449,40464
572,10,9,8,9,40447,40461,40469,40471
573,10,9,9,,40463,40466,,
574,9,10,7,10,40312,40317,40322,40327
575,6,,,,40495,40500,40502,40505
576,10,,,,40450,40611,,
577,10,10,8,,40454,40459,40463,40466
578,,,,,40480,,,
579,,,,10,40441,40449,40462,40464
580,10,,10,,40472,40518,,
581,,,,,40343,40345,40353,
582,9,,10,10,40238,40270,40308,40326
583,8,,,,40528,40528,40528,
584,9,10,10,10,40287,40326,40415,
585,10,10,10,,40428,40428,40428,
586,9,9,10,,40325,40327,40331,
587,10,,,,40324,40451,,
588,8,10,9,10,40282,40321,40329,40403
589,10,10,10,10,40288,40289,40295,40298
590,10,8,10,10,40321,40325,40330,40351
591,9,9,8,10,40331,40462,40466,
592,10,8,10,,40259,40325,40445,40462
593,,9,,,40335,40467,,
594,,9,9,9,40318,40323,40326,40330
595,9,10,,,40464,40473,,
596,,,,,40333,40336,40490,
597,,10,10,10,40494,40502,40512,40512
598,10,10,10,10,40314,40322,40327,40330
599,,8,9,,40437,,,
600,10,10,9,10,40318,40319,40326,40437
601,10,,,,40495,,,
602,10,10,10,10,40273,40312,40329,40336
603,7,10,,,40318,40329,40331,40444
604,,,10,10,40321,40330,40477,40567
605,9,9,10,10,40332,40340,40344,40347
606,9,,9,,40326,40335,,
607,10,10,,10,40444,,,
608,10,,8,,40322,40327,40330,40438
609,10,10,10,10,40294,40335,,
610,10,10,10,10,40211,40270,40276,
611,10,10,7,9,40328,40332,,
612,10,,10,,40305,40329,40441,
613,,,8,,40515,40522,40522,40522
614,,,,9,40373,40378,40382,40406
615,,10,10,10,40337,40341,40350,40451
616,5,,,1,40341,40442,,
617,9,10,8,,40319,40328,40367,40479
618,10,10,10,10,40267,40323,40462,
619,,10,10,10,40324,40413,,
620,9,9,9,10,40457,40463,40469,
621,,10,10,10,40326,40333,40375,40457
622,,10,,10,40333,,,
623,10,10,9,9,40449,40455,40458,40464
624,9,,,,40296,40338,,
625,10,7,10,10,40281,40300,40321,40414
626,,10,9,10,40326,40517,,
627,,9,9,,40331,40458,40553,
628,,10,10,10,40330,40330,40458,
629,10,,10,,40289,40345,40466,
630,9,,9,,40325,40326,40329,
631,,9,,10,40338,,,
632,,,,,40318,40318,40326,
633,,9,8,8,40267,40309,40329,40350
634,9,10,9,10,40316,40451,,
635,10,,,,40455,40624,,
636,10,,10,,40091,40108,40264,
637,9,9,9,8,40322,40330,40460,
638,10,10,,10,40289,40309,40322,40329
639,9,9,10,10,40325,40344,40564,
640,10,,,,40303,40329,40602,
641,,,,,40338,40492,40625,
642,,,,,40298,40624,,
643,9,9,,9,40466,40468,40469,40472
644,10,,,,40478,,,
645,9,10,,9,40308,40330,,
646,10,10,10,10,40283,40323,40329,40590
647,10,10,10,,40325,40331,,
648,10,8,10,10,40451,40451,40451,40471
649,,,,,40315,40324,40329,40460
650,10,9,,,40331,40366,,
651,,,,,40338,40339,,
652,10,10,10,,40406,40481,,
653,,,9,10,40585,40585,40585,40585
654,,10,,,40305,40320,40325,40331
655,9,10,9,,40403,40403,40403,40403
656,8,,,,40268,40322,,
657,10,,8,10,40453,40463,40469,
658,10,,,,40493,40522,,
659,9,9,,10,40332,40332,40332,
660,,,,,40465,40465,40465,40465
661,8,10,9,10,40456,40533,,
662,,,,,40466,,,
663,,10,9,7,40473,,,
664,10,,,,40490,,,
665,10,10,10,9,40312,40323,40329,40465
666,,,,9,40315,40326,40420,
667,,,10,,40323,40336,40477,
668,8,8,9,7,40491,40491,40491,40491
669,8,8,9,9,40310,40323,40337,
670,,9,,,40342,40353,40424,40445
671,,,,,40326,40326,40326,40326
672,10,8,9,,40329,40332,40337,
673,9,8,,,40277,40282,40284,40303
674,,,,,40485,40491,40497,40500
675,,10,,10,40316,40318,40324,40330
676,,10,10,,40432,40435,40456,
677,10,9,9,9,40476,40476,40476,
678,10,9,9,9,40463,40463,40463,40463
679,,10,10,10,40590,40590,40590,40590
680,,10,,10,40451,40463,40466,40478
681,9,8,10,9,40360,40424,40436,
682,10,10,10,10,40328,40608,,
683,8,9,,10,40310,40316,40321,40325
684,10,,,10,40288,40294,40361,
685,,,10,,40556,40556,,
686,10,7,9,10,40504,,,
687,8,8,9,10,40319,40419,40437,40645
688,2,9,10,9,40550,40550,40550,40550
689,,7,,7,40338,40350,40470,40596
690,,,,,40526,40526,40526,40526
691,9,10,9,10,40344,40443,40479,
692,,9,10,10,40249,40275,40303,40323
693,10,10,10,10,40301,40329,40330,40466
694,,10,10,10,40301,40301,40303,
695,9,,,,40462,40483,,
696,9,9,,,40405,40479,,
697,9,10,,,40311,40317,40323,40327
698,8,10,,,40308,40316,40329,40336
699,,10,10,,40298,40307,40316,40324
700,9,,,,40451,40465,40477,
701,8,10,10,,40451,40459,40476,40490
702,10,10,10,4,40483,40494,,
703,,,,,40451,40453,40484,
704,8,9,9,8,40433,,,
705,,,,,40283,40450,,
706,10,10,,10,40307,40326,40330,40333
707,8,,,9,40304,40319,40325,40331
708,10,10,10,10,40317,40323,40329,40520
709,10,10,10,8,40436,40442,,
710,,10,10,10,40318,40323,40330,40479
711,,10,9,10,40314,40330,40434,40457
712,,10,10,10,40322,40330,,
713,,6,10,10,40302,40317,40323,40330
714,,10,8,10,40309,40321,40325,40331
715,9,,,,40151,40169,,
716,10,10,10,10,40325,40330,40330,40337
717,9,9,8,9,40303,40307,40326,40437
718,9,8,10,9,40303,40323,40326,40330
719,,10,10,,40336,40356,40457,40623
720,10,,10,,40094,40252,40280,
721,10,10,7,,40548,40548,40548,40549
722,,10,6,7,40492,40496,40501,40513
723,3,,,,40505,40514,40520,40521
724,,,,,40482,40493,40499,
725,10,,,,40228,40454,,
726,9,10,7,5,40291,40295,40310,
727,,,,,40254,40254,40254,
728,10,,10,10,40323,40329,40337,40490
729,,10,10,10,40325,40329,40331,40518
730,,,,,40338,40451,,
731,,9,9,10,40515,40515,40533,
732,8,,,9,40484,40493,,
733,9,10,8,8,40308,40308,40301,40309
734,10,10,9,9,40423,,,
735,10,10,10,9,40323,40329,40421,
736,,,8,10,40316,40353,40574,
